species_name,treatment,mean,se,min,max,n,scientificName
Galium verticillatum,PH,0.3,NA,0.3,0.3,1,Galium verticillatum Danthoine ex Lam.
Genista scorpius,PB,6.45,1.29,0.2,20,21,Genista scorpius (L.) DC.
Genista scorpius,PH,6.45,1.4,0.2,55,49,Genista scorpius (L.) DC.
Helianthemum almeriense,PB,6.17,0.55,1,12,32,Helianthemum almeriense Pau
Helianthemum almeriense,PH,4.13,0.66,0.2,16,40,Helianthemum almeriense Pau
Helianthemum appenninum,PH,2.19,0.71,0.1,8,11,Helianthemum apenninum (L.) Mill.
Helianthemum cinereum subsp. cinereum,PB,0.5,0.17,0.1,1.6,8,Helianthemum cinereum subsp. cinereum
Helianthemum cinereum subsp. cinereum,PH,1.14,0.34,0.1,7,22,Helianthemum cinereum subsp. cinereum
Helianthemum ledifolium,PB,0.16,0.06,0.1,0.4,5,Helianthemum ledifolium (L.) Mill.
Helianthemum ledifolium,PH,1.06,0.39,0.1,2.5,7,Helianthemum ledifolium (L.) Mill.
Helianthemum salicifolium,PB,0.1,0,0.1,0.1,2,Helianthemum salicifolium (L.) Mill.
Helianthemum salicifolium,PH,0.37,0.19,0.1,2,10,Helianthemum salicifolium (L.) Mill.
Helictotrichon filifolium,PB,3.58,1.14,0.3,14,11,Helictotrichon filifolium (Lag.) Henrard
Helictotrichon filifolium,PH,5.24,1.04,0.1,24,31,Helictotrichon filifolium (Lag.) Henrard
Hippocrepis bourgaei,PB,0.97,0.26,0.1,6,27,Hippocrepis bourgaei (Nyman) Hervier
Hippocrepis bourgaei,PH,0.5,0.09,0.1,1.2,16,Hippocrepis bourgaei (Nyman) Hervier
Hippocrepis ciliata,PH,0.2,0,0.2,0.2,3,Hippocrepis ciliata Willd.
Hornungia petraea,PB,0.1,0,0.1,0.1,2,Hornungia petraea (L.) Rchb.
Hornungia petraea,PH,0.27,0.06,0.1,1.5,22,Hornungia petraea (L.) Rchb.
Inula montana,PH,1,NA,1,1,1,Inula montana Lucé
Koeleria vallesiana,PB,1.16,0.34,0.1,2.5,8,Koeleria vallesiana (Honck.) Bertol. ex Schult.
